,date,date_lab,who_region,who_region_long,country,iso3,cases,confirmed_cases,severe_cases,deaths,cfr,prop_sev,cfr_ci_lower,cfr_ci_upper,prop_sev_ci_lower,prop_sev_ci_upper
85,2014-01-01,Jan 2014,AMR,Region of the Americas,Peru,PER,2670.0,892.0,8.0,2.0,0.000749063670411985,0.00299625468164794,9.072796231205095e-05,0.002703229380167898,0.001294430183826853,0.005895235770387578
86,2014-01-01,Jan 2014,AMR,Region of the Americas,Puerto Rico,PRI,551.0,88.0,1.0,0.0,0.0,0.001814882032667877,0.0,0.006672520254630806,4.59477791856809e-05,0.01007002598688522
87,2014-01-01,Jan 2014,AMR,Region of the Americas,Saint Barthélemy,BLM,35.0,14.0,0.0,0.0,0.0,0.0,0.0,0.1000324355721051,0.0,0.1000324355721051
88,2014-01-01,Jan 2014,AMR,Region of the Americas,Saint Kitts and Nevis,KNA,,,,,,,,,,
89,2014-01-01,Jan 2014,AMR,Region of the Americas,Saint Lucia,LCA,,,,,,,,,,
90,2014-01-01,Jan 2014,AMR,Region of the Americas,Saint Martin (French part),MAF,142.0,142.0,1.0,0.0,0.0,0.007042253521126761,0.0,0.02564349848446323,0.0001782785289186314,0.03861110461098816
91,2014-01-01,Jan 2014,AMR,Region of the Americas,Saint Vincent and the Grenadines,VCT,,,,,,,,,,
92,2014-01-01,Jan 2014,AMR,Region of the Americas,Sint Maarten (Dutch part),SXM,,,,,,,,,,
93,2014-01-01,Jan 2014,AMR,Region of the Americas,Suriname,SUR,,,,,,,,,,
94,2014-01-01,Jan 2014,AMR,Region of the Americas,Trinidad and Tobago,TTO,,,,,,,,,,
95,2014-01-01,Jan 2014,AMR,Region of the Americas,Turks and Caicos Islands,TCA,,,,,,,,,,
96,2014-01-01,Jan 2014,AMR,Region of the Americas,United States Virgin Islands,VIR,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.975,0.0,0.975
97,2014-01-01,Jan 2014,AMR,Region of the Americas,United States of America,USA,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.06603151424442177,0.0,0.06603151424442177
98,2014-01-01,Jan 2014,AMR,Region of the Americas,Uruguay,URY,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0
99,2014-01-01,Jan 2014,AMR,Region of the Americas,Venezuela (Bolivarian Republic of),VEN,9122.0,0.0,31.0,0.0,0.0,0.003398377548783161,0.0,0.0004043119573357098,0.002310165139653516,0.004820286779107896
100,2014-01-01,Jan 2014,SEAR,South-East Asia Region,Thailand,THA,887.0,,,,,,,,,
101,2014-02-01,Feb 2014,AMR,Region of the Americas,Anguilla,AIA,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4096163972250034,0.0,0.4096163972250034
102,2014-02-01,Feb 2014,AMR,Region of the Americas,Antigua and Barbuda,ATG,,,,,,,,,,
103,2014-02-01,Feb 2014,AMR,Region of the Americas,Argentina,ARG,408.0,9.0,0.0,0.0,0.0,0.0,0.0,0.009000620919689784,0.0,0.009000620919689784
104,2014-02-01,Feb 2014,AMR,Region of the Americas,Aruba,ABW,,,,,,,,,,
105,2014-02-01,Feb 2014,AMR,Region of the Americas,Bahamas,BHS,,,,,,,,,,
106,2014-02-01,Feb 2014,AMR,Region of the Americas,Barbados,BRB,81.0,27.0,,0.0,0.0,,0.0,0.04452026245632179,,
107,2014-02-01,Feb 2014,AMR,Region of the Americas,Belize,BLZ,148.0,9.0,,,,,,,,
108,2014-02-01,Feb 2014,AMR,Region of the Americas,Bermuda,BMU,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0
109,2014-02-01,Feb 2014,AMR,Region of the Americas,Bolivia (Plurinational State of),BOL,4138.0,562.0,50.0,0.0,0.0,0.01208313194780087,0.0,0.0008910671073832185,0.008981269998016659,0.01589941203907896
110,2014-02-01,Feb 2014,AMR,Region of the Americas,"Bonaire, Saint Eustatius and Saba",BES,,,,,,,,,,
111,2014-02-01,Feb 2014,AMR,Region of the Americas,Brazil,BRA,49796.0,21153.0,63.0,38.0,0.0007631135030926179,0.001265161860390393,0.0005400793619570866,0.001047283988923671,0.0009723178187201712,0.001618405426286994
112,2014-02-01,Feb 2014,AMR,Region of the Americas,British Virgin Islands,VGB,,,,,,,,,,
113,2014-02-01,Feb 2014,AMR,Region of the Americas,Canada,CAN,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0
114,2014-02-01,Feb 2014,AMR,Region of the Americas,Cayman Islands,CYM,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.841886116991581,0.0,0.841886116991581
115,2014-02-01,Feb 2014,AMR,Region of the Americas,Chile,CHL,,,,,,,,,,
116,2014-02-01,Feb 2014,AMR,Region of the Americas,Colombia,COL,7867.0,3932.0,200.0,0.0,0.0,0.02542265158256006,0.0,0.0004687955664640787,0.02205754211335061,0.02914527163718639
117,2014-02-01,Feb 2014,AMR,Region of the Americas,Costa Rica,CRI,525.0,,,0.0,0.0,,0.0,0.007001809362012779,,
118,2014-02-01,Feb 2014,AMR,Region of the Americas,Cuba,CUB,,,,,,,,,,
119,2014-02-01,Feb 2014,AMR,Region of the Americas,Curaçao,CUW,,,,,,,,,,
120,2014-02-01,Feb 2014,AMR,Region of the Americas,Dominica,DMA,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1481851289152243,0.0,0.1481851289152243
121,2014-02-01,Feb 2014,AMR,Region of the Americas,Dominican Republic,DOM,526.0,,27.0,7.0,0.01330798479087452,0.05133079847908745,0.005366791532864687,0.02722639114583614,0.03409624552663829,0.07380762901241211
122,2014-02-01,Feb 2014,AMR,Region of the Americas,Ecuador,ECU,962.0,962.0,3.0,0.0,0.0,0.003118503118503119,0.0,0.003827251359850002,0.0006435726109002082,0.009086306806716848
123,2014-02-01,Feb 2014,AMR,Region of the Americas,El Salvador,SLV,1642.0,731.0,22.0,0.0,0.0,0.01339829476248477,0.0,0.002244055346838998,0.008415173769574706,0.02021526783823802
124,2014-02-01,Feb 2014,AMR,Region of the Americas,French Guiana,GUF,1111.0,150.0,7.0,0.0,0.0,0.0063006300630063,0.0,0.003314817362631774,0.002536821265606237,0.01293837442419377
125,2014-02-01,Feb 2014,AMR,Region of the Americas,Grenada,GRD,,,,,,,,,,
126,2014-02-01,Feb 2014,AMR,Region of the Americas,Guadeloupe,GLP,664.0,262.0,8.0,0.0,0.0,0.01204819277108434,0.0,0.00554013786482473,0.005215512878964179,0.02360112328988984
127,2014-02-01,Feb 2014,AMR,Region of the Americas,Guatemala,GTM,540.0,209.0,7.0,0.0,0.0,0.01296296296296296,0.0,0.006807978244467772,0.005227238863765432,0.02652539147102217
128,2014-02-01,Feb 2014,AMR,Region of the Americas,Guyana,GUY,,,,,,,,,,
129,2014-02-01,Feb 2014,AMR,Region of the Americas,Haiti,HTI,,,,,,,,,,
130,2014-02-01,Feb 2014,AMR,Region of the Americas,Honduras,HND,654.0,,101.0,0.0,0.0,0.154434250764526,0.0,0.005624610773569269,0.1275849668712259,0.184445352546646
131,2014-02-01,Feb 2014,AMR,Region of the Americas,Jamaica,JAM,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1950643229690932,0.0,0.1950643229690932
132,2014-02-01,Feb 2014,AMR,Region of the Americas,Martinique,MTQ,,,,,,,,,,
133,2014-02-01,Feb 2014,AMR,Region of the Americas,Mexico,MEX,5062.0,1140.0,435.0,0.0,0.0,0.08593441327538523,0.0,0.0007284740546098768,0.07835530821738762,0.0939948642258912
134,2014-02-01,Feb 2014,AMR,Region of the Americas,Montserrat,MSR,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0
135,2014-02-01,Feb 2014,AMR,Region of the Americas,Nicaragua,NIC,1632.0,179.0,0.0,0.0,0.0,0.0,0.0,0.002257790151623982,0.0,0.002257790151623982
136,2014-02-01,Feb 2014,AMR,Region of the Americas,Panama,PAN,2859.0,0.0,13.0,6.0,0.002098635886673662,0.004547044421126268,0.0007705395898069332,0.004562209279653749,0.00242326362673459,0.00776303280517987
137,2014-02-01,Feb 2014,AMR,Region of the Americas,Paraguay,PRY,1966.0,316.0,1.0,1.0,0.000508646998982706,0.000508646998982706,1.28777441331706e-05,0.002830706860863416,1.28777441331706e-05,0.002830706860863416
138,2014-02-01,Feb 2014,AMR,Region of the Americas,Peru,PER,2859.0,1503.0,20.0,7.0,0.002448408534452606,0.006995452955578874,0.000984936194764907,0.005038110773209123,0.004278086936970781,0.01078332889339106
139,2014-02-01,Feb 2014,AMR,Region of the Americas,Puerto Rico,PRI,362.0,60.0,1.0,0.0,0.0,0.002762430939226519,0.0,0.01013852979972507,6.993625043560887e-05,0.01529444387066448
140,2014-02-01,Feb 2014,AMR,Region of the Americas,Saint Barthélemy,BLM,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0
141,2014-02-01,Feb 2014,AMR,Region of the Americas,Saint Kitts and Nevis,KNA,,,,,,,,,,
